17:22:48 | INFO    | aiogram.event | Update id=310263742 is handled. Duration 416 ms by bot id=8705594522
17:22:50 | INFO    | aiogram.event | Update id=310263743 is handled. Duration 414 ms by bot id=8705594522
17:23:06 | INFO    | aiogram.event | Update id=310263744 is handled. Duration 413 ms by bot id=8705594522
17:23:06 | INFO    | print_service | PDF: bot_downloads\7523920886_537124b1_Destination B2.pdf | 224 исх. стр.
17:23:06 | INFO    | print_service | Сборка макета брошюры (переплет: left)...
17:23:26 | INFO    | print_service | Нагрузка: ≈60 физических листов/пачку (60 л × 1 коп.)
17:23:26 | WARNING | print_service | ⚠ Нагрузка > 30 листов/пачку. Уменьшите --batch или --copies.
17:23:26 | INFO    | print_service |   Пачка 1: стр.1–112 (сохранено 112 сторон)
17:23:27 | INFO    | snmp_manager |   Принтер: idle
17:26:34 | INFO    | snmp_manager |   [SNMP] Фаза 1/3: ожидание пробуждения принтера...
17:46:39 | INFO    | aiogram.dispatcher | Polling stopped
17:46:39 | ERROR   | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
17:46:39 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8705594522)
17:46:39 | INFO    | aiogram.dispatcher | Polling stopped for bot @CanonCarePrint_bot id=8705594522 - 'CanonCarePrint'
17:48:47 | INFO    | __main__ | =======================================================
17:48:47 | INFO    | __main__ |   Canon iR2425 — Бот-Оркестратор v7.0
17:48:47 | INFO    | __main__ | =======================================================
17:48:47 | INFO    | __main__ |   Принтер: 192.168.68.114 (iR2425)
17:48:47 | INFO    | __main__ |   Разрешённый chat_id: 7523920886
17:48:47 | INFO    | __main__ |   Бот запущен. Ожидаю PDF...
17:48:47 | INFO    | __main__ |   Принтер: printing | счётчик: 16569 стр.
17:48:47 | INFO    | aiogram.dispatcher | Start polling
17:48:48 | INFO    | aiogram.dispatcher | Run polling for bot @CanonCarePrint_bot id=8705594522 - 'CanonCarePrint'
17:49:02 | INFO    | aiogram.event | Update id=310263745 is handled. Duration 3398 ms by bot id=8705594522
17:49:08 | INFO    | aiogram.event | Update id=310263746 is handled. Duration 306 ms by bot id=8705594522
17:49:26 | INFO    | aiogram.event | Update id=310263747 is handled. Duration 409 ms by bot id=8705594522
17:49:27 | INFO    | print_service | PDF: bot_downloads\7523920886_4db3ec7f_Destination B2 — копия.pdf | 8 исх. стр.
17:49:27 | INFO    | print_service | Сборка макета брошюры (переплет: left)...
17:49:28 | INFO    | print_service | Нагрузка: ≈30 физических листов/пачку (30 л × 1 коп.)
17:49:28 | INFO    | print_service |   Часть 1: (сохранено 4 сторон)
17:49:28 | ERROR   | __main__ | Задание печати упало: name 'total_batches' is not defined
08:54:44 | INFO    | __main__ | =======================================================
08:54:44 | INFO    | __main__ |   Canon iR2425 — Бот-Оркестратор v7.0 (Clean Arch)
08:54:44 | INFO    | __main__ | =======================================================
08:54:44 | INFO    | __main__ |   Принтер: 192.168.68.199 (iR2425)
08:54:44 | INFO    | __main__ |   Разрешённый chat_id: 7080262472
08:54:44 | INFO    | __main__ |   Принтер: offline | счётчик: 0 стр.
08:54:44 | INFO    | __main__ | 🚀 Бот запущен. Проверка прерванных заданий...
08:54:44 | INFO    | aiogram.dispatcher | Start polling
08:54:45 | INFO    | aiogram.dispatcher | Run polling for bot @CanonCarePrint_bot id=8705594522 - 'CanonCarePrint'
08:55:11 | INFO    | __main__ | =======================================================
08:55:11 | INFO    | __main__ |   Canon iR2425 — Бот-Оркестратор v7.0 (Clean Arch)
08:55:11 | INFO    | __main__ | =======================================================
08:55:11 | INFO    | __main__ |   Принтер: 192.168.68.199 (iR2425)
08:55:11 | INFO    | __main__ |   Разрешённый chat_id: 7080262472
08:55:11 | INFO    | __main__ |   Принтер: offline | счётчик: 0 стр.
08:55:11 | INFO    | __main__ | 🚀 Бот запущен. Проверка прерванных заданий...
08:55:11 | INFO    | aiogram.dispatcher | Start polling
08:55:12 | INFO    | aiogram.dispatcher | Run polling for bot @CanonCarePrint_bot id=8705594522 - 'CanonCarePrint'
08:56:33 | INFO    | aiogram.event | Update id=310264103 is handled. Duration 795 ms by bot id=8705594522
08:57:25 | INFO    | __main__ | =======================================================
08:57:25 | INFO    | __main__ |   Canon iR2425 — Бот-Оркестратор v7.0 (Clean Arch)
08:57:25 | INFO    | __main__ | =======================================================
08:57:25 | INFO    | __main__ |   Принтер: 192.168.68.199 (iR2425)
08:57:25 | INFO    | __main__ |   Разрешённый chat_id: 7080262472
08:57:25 | INFO    | __main__ |   Принтер: offline | счётчик: 0 стр.
08:57:25 | INFO    | __main__ | 🚀 Бот запущен. Проверка прерванных заданий...
08:57:25 | INFO    | aiogram.dispatcher | Start polling
08:57:26 | INFO    | aiogram.dispatcher | Run polling for bot @CanonCarePrint_bot id=8705594522 - 'CanonCarePrint'
08:58:04 | INFO    | aiogram.event | Update id=310264104 is handled. Duration 33022 ms by bot id=8705594522
09:03:23 | WARNING | aiogram.dispatcher | Received SIGINT signal
09:03:23 | INFO    | aiogram.dispatcher | Polling stopped for bot @CanonCarePrint_bot id=8705594522 - 'CanonCarePrint'
09:03:23 | INFO    | aiogram.dispatcher | Polling stopped
09:03:23 | WARNING | __main__ | !!! Сигнал остановки системы. Перевожу задания в режим PAUSE...
09:03:23 | INFO    | __main__ | ✅ Все состояния сохранены. До свидания!
09:03:35 | INFO    | __main__ | =======================================================
09:03:35 | INFO    | __main__ |   Canon iR2425 — Бот-Оркестратор v7.0 (Clean Arch)
09:03:35 | INFO    | __main__ | =======================================================
09:03:35 | INFO    | __main__ |   Принтер: 192.168.68.199 (iR2425)
09:03:35 | INFO    | __main__ |   Разрешённый chat_id: 7080262472
09:03:35 | INFO    | __main__ |   Принтер: offline | счётчик: 0 стр.
09:03:35 | INFO    | __main__ | 🚀 Бот запущен. Проверка прерванных заданий...
